Cell,x start[px],x end[px],y start[px],y end[px],Z_start[m],Z_end[m],X_start[m],X_end[m]
1,0,106,1,222,-10.0,-1.6205533596837949,-4.955156950672646,4.955156950672645
2,107,176,1,76,-1.541501976284584,3.913043478260869,-4.955156950672646,-1.5919282511210766
3,107,176,144,222,-1.541501976284584,3.913043478260869,1.4573991031390134,4.955156950672645
4,177,250,1,222,3.99209486166008,9.762845849802371,-4.955156950672646,4.955156950672645
