Cell,Z_start,Z_end,X_start,X_end
1,-4.989285714285715,-3.692857142857143,-2.4279279279279278,2.45
2,-3.6535714285714285,-1.4142857142857146,0.6621621621621623,2.45
3,-3.6535714285714285,-1.4142857142857146,-2.4279279279279278,-0.993243243243243
4,-1.3750000000000004,4.832142857142856,-2.4279279279279278,2.45
