Cell,Z_start[m],Z_end[m],X_start[m],X_end[m]
1,-10.0,-1.6205533596837949,-4.955156950672646,4.955156950672645
2,-1.541501976284584,3.913043478260869,-4.955156950672646,-1.5919282511210766
3,-1.541501976284584,3.913043478260869,1.4573991031390134,4.955156950672645
4,3.99209486166008,9.762845849802371,-4.955156950672646,4.955156950672645
