Cell,x start[px],x end[px],y range[px],y end[px],Z_start[m],Z_end[m],X_start[m],X_end[m]
1,0,103,1,222,0.5,8.438735177865613,0.5426008968609866,9.957399103139013
2,104,188,1,78,8.515810276679842,14.990118577075098,0.5426008968609866,3.8228699551569507
3,104,188,142,222,8.515810276679842,14.990118577075098,6.54932735426009,9.957399103139013
4,189,250,1,222,15.067193675889328,19.768774703557312,0.5426008968609866,9.957399103139013
